Unique ID,Post,Labels Set
3735,"मैं मुंबई से नहीं हूं, लेकिन मैं 5-6 बार मुंबई गया हूं, #Mumbai भारत का सबसे सुंदर और सुरक्षित शहर है जहां एक लड़की या कोई भी व्यक्ति रात में भी सड़क पर सुरक्षित रूप से घूम सकता है। बेवकूफ 12 वीं फैल कंगना को मुंबई की तुलना POK से करने के लिए जेल में डालना चाहिए ...",defamation
1556,"ब्रेकिंग न्यूज़- 

महा नालायक हच्चन साहब ने कहा मैं कुछ नहीं बोलूँगा मेरे मुंह में बवासीर है, 😂😂😂",defamation
962,"राष्ट्रपति #RamNathKovind ने पूर्व राष्ट्रपति #PranabMukherjee को दी श्रद्धांजलि

#PranabDa https://t.co/xlWr0gVQgq",non-hostile
2928,फ़्रांस की चार्ली हेब्दो ने फिर पैगंबर मोहम्मद का कार्टून छापा -मैग्जीन ने कहा हम नहीं झुकेगें,non-hostile
759,"बिहार: भारत का एकमात्र ऐसा किला जो जमीन पर नहीं, बल्कि जमीन के नीचे है, यहां पढ़ें अकल्पनीय जानकारी

रंजन सिंह राजपूत की रिपोर्ट

https://t.co/qexaEQokUy",non-hostile
3318,#संजय_सिंह_गुंडा_है बंदर को बटेर।साले स्पैम मर थे गधों ने सांसद बना दिया,offensive
834,"अब विदेशी छात्रों को देश की अलग अलग यूनिवर्सिटी में दाखिले के लिए अलग अलग फॉर्म भरने की जरूरत नही पड़ेगी.

https://t.co/XvmUvWXdYv",non-hostile
1644,@aamir_khan भारत में मच गई हाहाकार रोटी के लिए ताली बजा  रहे हैं युवा भारत की हालात लीबिया सीरिया तालिबान से भी बदतर हालात https://t.co/L0i6fmwXvn,hate
1401,"उत्तर प्रदेश की राजधानी लखनऊ में डबल मर्डर की ख़बर है. मुख्यमंत्री आवास के पास ये घटना हुई. हाई सिक्योरिटी ज़ोन वाले थाना गौतम पल्ली क्षेत्र की रेलवे कॉलोनी में एक रेलवे अधिकारी की पत्नी और उनके बेटे की गोली मार दी गई.

https://t.co/2fp9y5a81d",non-hostile
1671,"कोलकाता नाइट राइडर्स ने दो बार 2012 और 2014 में खिताब अपने नाम किया था, हालांकि इसके बाद वह पिछले छह सालों में फाइनल में भी नहीं पहुंच पाई है.
#KKR #IPL2020 
https://t.co/9VFI3pkI9q",non-hostile
828,शाहीन बाग की काले टेन्ट वाली शेरनियाँ😂  खैरात में मिले ₹500 लेने के लिए 🤗 क्योंकि रेट फिक्स है न ज्यादा न कम,offensive
710,"कई रहस्यों को अपने अंदर समेटे है बिहार के कैमूर में स्थित यह मंदिर, आज भी क्षेत्र में खुदाई के दौरान मिलती हैं मूर्तियां

https://t.co/zoaSxvN8nW",non-hostile
2581,"दिल्ली  बीजेपी ने 14 नए जिला अध्यक्ष बनाये,उसमे 1 दलित &amp; 1 पूर्वांचली। पूर्वांचलियों की आबादी 30%&amp; दलितों की 23 % है।लगभग 53% वालों को 2 पद &amp;47% वालों को 12 ।",non-hostile
3170,"वर्दी में खड़ी महिला रक्षा मंत्री की बेटी है।

महिला अधिकारी रक्षा मंत्री निर्मला सीतारमण की बेटी नहीं है

",fake
3048,@SanjayAzadSln टिकट बिलेक करता है साले सूअर अब तू भोले-भाले किसानों को ब्लैकमेल नहीं कर सकता,offensive
1895,"अर्थव्यवस्था का उबरना मुश्किल, शून्य से 10.9 फीसदी नीचे रहेगी 2020-21 में विकास दर
#IndianEconomy @FinMinIndia @RBI @nsitharaman #GDP 
https://t.co/KYEXg7ul7t",non-hostile
4539,"यदि कांग्रेस की डिक्शनरी में ""हिंदुत्व"" शब्द ही नहीं है तो...

हिंदुओं की डिक्शनरी में ""कांग्रेस"" शब्द क्यों है? जागो और मिटा दो😡 👎",hate
743,"ज्यादा परेशान ना होइए फ्री में अकाउंट में पैसे लिए है वह भी तब,  कि जब सरकार के पास धेले का भी टैक्स कलेक्शन नहीं हो रहा था  अब जीडीपी के लिए बिलबिला रहे हो , एक साथ दोनों कैसे चलेंगे बे",fake
247,"अगर विनोद दुआ राजद्रोह के गुनहगार है तो फिर कौन पत्रकार बचेगा ? ये विरोध की आवाज़ को दबाने की कोशिेश है ! 

@VinodDua7 @ShekharGupta @sheela2010 @sardesairajdeep @sardanarohit @mjakbar @SanjayAzadSln @rssurjewala @manojkjhadu @RahulGandhi @AmitShah 

https://t.co/DLnqsV2w0h",non-hostile
5481,अकेली  में क्या कर सकती हूं किस-किस से लडे पति के पेंशन दिलाने के लिए केस लाडू छोटी सी कारोबार है उसमें जान डालू जो डूब रही है  या पति के इलाज  कराऊं या बच्चे संभालू या बीजेपी की आईटी सेल द्वारा फोन कर धमकी दे रही है इसको जवाब दूं पति को मुर्दा बनाकर सेना से निकाल दी क्या करूं,defamation
3661,"पंजाब के मुख्यमंत्री कैप्टन अ​मरिंदर सिंह ने जीएसटी पर केंद्र सरकार के रवैये पर सवाल  उठाये हैं 

https://t.co/TZ0xRJ3nvw",non-hostile
152,"👆देखो और ध्यान दो और क्या हो रहा है हमारे देश में 🤔🤨🤨🤨🤨🤨
हमारे धर्म ग्रंथों में मिलावट करने का कार्य जोरों से चल रहा है,,,, 🙄🙄🙄
आने वाले 20 साल बाद हमारी अगली पीढ़ियां ये #मिलावटी वेद, पुराण, उपनिषद पढ़ेंगे। 
जागो हिन्दू जागो ।। 
@nshuklain @AchAnkurArya @noconversion",fake
2628,"महाराष्ट्र में घर खरीदना होगा सस्ता, डिस्काउंटेड रेट पर होगी मकानों की रजिस्ट्री
https://t.co/s2IIyOoUiz via @NavbharatTimes 
#Housing #Property",non-hostile
2942,@GAURAVKUMAR9935 @ghazipurpolice @ghaziabadpolice - कृपया सूचनार्थ एवं आवश्यक कार्यवाही हेतु।,non-hostile
786,"केजरीवाल सरकार की प्लाज़्मा थैरेपी बचा रही है कोरोना मरीजों की जान।

दिल्ली में प्लाज़्मा डोनेट करने के लिए कॉल करें 1031 पर।
#DonatePlasmaSaveLives https://t.co/vBVALExcYX",non-hostile
2143,"वीडियो दावा करता है कि चीन विनाशकारी बाढ़ के चपेट में है

",fake
682,"#BiharElelctions को लेकर #BJP की कैसी है तैयारी ? पढ़िए...

https://t.co/QfR3l72Y5d",non-hostile
4996,"हमारे नालंदा विश्वविद्यालय की 150 लाख किताबे महीनो तक जलाने वाले

एक किताब जलाने पर
पूरा स्वीडन जला रहे है😡",hate
111,"न चोर हूं , न चौकीदार हूं
साहब मैं तो बेरोजगार हूं

#speakupforSSCRaliwaystudents",defamation
1054,@Basantk26422337 @maengandhi @AMISHDEVGAN मां का भोसड़ा तेरी तू तो मेरी ओलाद है मादार चोद गरीब साले आतंगवादी,"hate,offensive"
1306,"तुम ज़मीं पे ‘ज़ुल्म’ लिखो;
आसमान में 'इंक़लाब' लिखा जाएगा,

सब याद रखा जाएगा,
सब कुछ याद रखा जाएगा।
#NEETisSocial_Injustice 
#JEEFailedPostponeNEET ",offensive
1618,"#DNA : कोरोना से बचे, तो कहीं ज़हर न मार दे !
@sudhirchaudhary https://t.co/0Mj9Rq5qWk",non-hostile
5494,"देश में कोरोना के 90 हजार से अधिक नए मामले, पिछले 24 घंटे में 1000 से अधिक मौतें

#IndiaFightsCorona #COVID19 https://t.co/vz6mRCzQkG",non-hostile
1872,"प्रशांत भूषण पर उनके केबिन में हुए हमले का वीडियो

सुप्रीम कोर्ट के वकील और एक्टिविस्ट प्रशांत भूषण पर हुए हमले

",fake
5415,"कश्मीर है भारत का""। इस गाने का विरोध पाकिस्तान ने किया था और रेडियो सीलोन ने इस गाने को नहीं बजाने के लिए कहा था। वाह रे हमारी कांग्रेस सरकार। इस गीत पर भी चुपचाप प्रतिबंध लगा दिया। उस व्यक्ति को सलाम जो अब इस गीत को यूट्यूब पर लाया है
जन्नत की है ये तस्वीर ये तस्वीर न देंगे। कश्मीर है भारत का, कश्मीर न देंगे


",fake
1262,"RT @_Pb_swain_: BJP के योगीजी पुराने नाम बदल कर सनातन संस्कृति के नाम पर कर रहे है,

और कोंग्रेस का गहलोत मुगल-गांधी सल्तनत के नाम पर।😱😡",hate
5040,"@srivatsayb @AmitShah गांधी खानदान विदेश में अपना इलाज करा कर साबित कर दिया कि एक भी
HOSPITAL
का निर्माण इस देश नहीं कराया.🤔👍",hate
3913,"दिल्‍ली पुलिस को बड़ी कामयाबी, बब्‍बर खालसा इंटरनैशनल के दो आतंकी मुठभेड़ के बाद अरेस्‍ट
https://t.co/WN7O1FaybS 

#BreakingNews",non-hostile
4929,"अभी-अभी एक बड़ी खबर आ रही है 👇

LAC चुमर सेक्टर में चीनी सेना ने एक बार फिर से घुसपैठ की कोशिश की

जवाबी कार्रवाई में भारतीय सेना ने सभी चीनियों को वहां से खदेड़ दिया है

8 बस्तर बंद गाड़ियों मे आए थे चीनी सैनिक भारतीय सेना ने तमंचे पर डिस्को करा कर वापस भेजा

भारत माता की जय 🙏","fake,offensive"
718,"लॉ की पढ़ाई कर रहे छात्र की याचिका ने हाई कोर्ट को सोचने पर मजबूर कर दिया 

#UttarPradesh #HookahBar 

https://t.co/8K596fIGKu",non-hostile
1551,"दुर्गेश यादव हत्याकांड: आरोपी पलक ठाकुर का का सत्ता कनेक्शन आया सामने, जानें- कौन है मुंहबोला भाई

#DurgeshYadav #PalakThakur 

https://t.co/LmtD4GWZpA",non-hostile
625,एक लड़की कह रही है कि उसके सेना अधिकारी पिताजी स्वास्थ्य मंत्रालय के संपर्क में हैं जो कहते हैं कि देश 5 दिनों के भीतर लॉकडाउन में चला जाएगा।,fake
657,@AntonioMain4 @INCMP मेरा बाप तुम्हारे बाप की तरहां गांडू नहीं है। साला बुढा हो गया पर आब भी मराने का शोंक नहीं गया।,"hate,offensive"
1276,"जब मोदीजी ने सैनिक की पत्नी को खुद किया फ़ोन
नरेंद्र मोदी पुलवामा शहीद की विधवा से फ़ोन पर बात कर शोक व्यक्त करते हैं


",fake
4916,अमरीकी राष्ट्रपति चुनाव: जो बाइडन ने डोनाल्ड ट्रंप को कहा 'हिंसा भड़काने वाला ज़हरीला नेता' https://t.co/Xx01tRQsXS,non-hostile
2895,"मुख्यमंत्री श्री @myogiadityanath जी ने कहा है कि प्रदेश आगे भी इसी तरह से मेहनत करता रहेगा और अव्वल स्थान प्राप्त करेगा: ACS, गृह व सूचना, श्री @AwasthiAwanishK जी",non-hostile
5716,"Pranav Mukherjee in Images: पीएम मोदी भी छूते थे पूर्व राष्ट्रपति प्रणब मुखर्जी के पांव, देखें- यादगार तस्वीरें
#PranabMukherjee #pranabda #PranabMukherjeePassesAway @narendramodi @INCIndia 
https://t.co/FJ7PTfklIo",non-hostile
1324,"इमाम , कामरा, अरफ़ा, स्वरा, ये पाकिस्तान में हिंदू बहनें हैं, इन बहनों का दुःख दर्द समझ, आये तो कुछ व्यक्त भी कर देना, रोहिंग्या व बांग्लादेशी घुसपेठियों, से तो बहुत याराना है, हिंदुओं से इतनी घृणा क्यों है ? #CAA_NRC_support""","fake,hate"
404,"RT @Nattashasharrma: तुम ED लगाओ, CBI लगाओ, NCB लगाओ 

हम JCB जगाएंगे:- BMC🥳",offensive
2496,पिछली सरकारों ने पीएसी को 54 कंपनियां समाप्त कर दी थीं योगी जी ने उन्हें फिर से बहाल किया है।,hate
4238,"पटना में 12 साल की बच्ची के साथ गैंगरेप, अपराधियों ने 5 दिन तक बंधक बनाकर रखा सुन खबर देख खबर देशद्रोही मीडिया बिहार के इसी  पाप को छुपाने के लिए तू अनाप-शनाप खबर चलाई है बिहार की जनता तुम्हें माफ नहीं करेगी",defamation
4985,"दूसरे फ़र्ज़ी संदेशों में यह कहा गया कि सुबहे एक पुलिस कर्मचारी ने आकर मस्जिद के दरवाज़े को बार बार लात मारी थी। इस बात से रहवासियों में ग़ुस्सा फैल गया।
",fake
505,कोरोनावायरस चीन की लेबोरेटरी में तैयार किया गया,fake
1453,@arnabofficial_7 अंध भक्तों की तरह थाली ताली अमिताभ बच्चन बजाया तो रिश्तेदार हो गया जैसे ही सच बोल गया दुश्मन हो गया 135 करोड़ की देश में तुम्हारे जैसे दो-चार लावारिस बहिष्कार करके क्या करेंगे,offensive
1028,भक्तो तुम्हारी अम्मा यसोदा मैया भी #ShaheenBaghProtest पहुंच गई पैसे लेने ...🧐 लेकिन तुम्हारे पप्पा #मोदीजी_शाहीनबाग_कब_आओगे,fake
3807,"किसने की अमरनाथ गुफा की खोज, जानिए अमरनाथ यात्रा और इसके प्रबंध के बारे में सब कुछ

https://t.co/iJTsAtDhZZ

(रिपोर्ट @ranveerabp ) https://t.co/KLzWw0YPnj",non-hostile
2938,"प्रदेश में विगत 24 घंटों में कोरोना के 5,061 नए मामले आए हैं। प्रदेश में 54,788 कोरोना के एक्टिव मामले हैं: ACS, चिकित्सा एवं स्वास्थ्य, श्री अमित मोहन प्रसाद जी",non-hostile
1648,हिंदू और मुस्लिमों के लिए अलग-अलग वार्ड राज्य सरकार के निर्णय के आधार पर बनाए।,"fake,hate"
664,"दुनिया की कोरोना कैपिटल बना भारत, विफलता पर जवाब दें प्रधानमंत्री मोदी - कांग्रेस
#Covid19 @INCIndia @rssurjewala @PMOIndia @narendramodi @BJP4India
https://t.co/7SJfgrvbf7",non-hostile
4241,"लोक डाउन Corona महामारी में भी मा.वामन मेश्राम साहेब नहीं रुके लोगो के अधिकार के लिए लगातार आंदोलन शुरू रखा है। भारत की जनता जाग चुकी है
अपना अधिकार मांग रही है। लेकिन आरएसएस की मीडिया लगातार राम मंदिर के सिवा कुछ नहीं दिखा रही है
#राममंदिर_का_पोस्टमार्टम","defamation,hate"
2359,देश की रक्षा कंपनियों की उत्पादन क्षमता और उनके तकनीकी कौशल की जानकारी डीआरडीओ और रक्षा उत्पादन विभाग ने पीएम मोदी को दी.  https://t.co/tnB1uSyu1x,non-hostile
286,"योगी सरकार ने मेरे ख़िलाफ़ बस्ती और गोरखपुर में भी FIR करा दी है अभी तक मात्र 8 FIR नाइंसाफ़ी है।

जब से हुए हैं ज़िल्ले इलाही मेरे ख़िलाफ़
मुंसिफ़ मेरे ख़िलाफ़ गवाही मेरे ख़िलाफ़

पानी की बूंद-बूंद पे पहरा बिठा दिया
जब से हुआ है लश्कर-ए-शाही मेरे ख़िलाफ़।",non-hostile
5463,"पाकिस्तानी डॉक्टरों ने अपना समर्थन दिखते हुए मार्च निकाला |
पाकिस्तानी डॉक्टरों ने पश्चिम बंगाल में हो रही डॉक्टरों की हड़ताल का समर्थन किया",fake
373,"मुख्यमंत्री श्री @myogiadityanath जी ने निर्देश दिए हैं कि बाढ़ प्रभावित जनपदों में वरिष्ठ अधिकारियों द्वारा कटान प्रभावित क्षेत्रों का निरीक्षण कर आवश्यक रिपेयर सामग्री की उपलब्धता सुनिश्चित कराई जाए ताकि बाढ़ के कारण हो रहे कटान से बचाव हो सके: राहत आयुक्त, श्री संजय गोयल जी https://t.co/u6Y6QgaasO",non-hostile
3906,"@RahulGandhi तेरे जैसे भड़वों को बस किसानों को उकसाने का काम ही आता है, अबे गंदी नाली की पैदाइश तुम लोग चाहो तो किसानों को आपस मे लड़वा कर अपना फ़ायदा तक उठा सकते हो। एक बात सुन ले मोदी जी है तभी ये देश आज बचा है तू मोदीजी के आगे कुछ भी नही है । साला सुअर की जात🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕👿👿👿👿👿","defamation,fake,hate,offensive"
708,@jayesh20032 सार्वजनिक संपत्ति को बेचने के किसी को अधिकार भी नहीं होनी चाहिए जिसके बाप दादा ने इस देश में  एक ईट नहीं लगाई उसकी औलाद देश बेच रही है देश की सरकारी कंपनियां बेच रही है,hate
34,"भारत की असंगठित अर्थव्यवस्था पर दूसरा बड़ा हमला है जीएसटी: राहुल गांधी
https://t.co/0CxyP0rMyU",non-hostile
497,"ये देखो इस्लाम क्या क्या सिखाता है
जिहाद से लेकर आतंकवादी
और दंगों से लेकर चोरी
बुर्खे की आड़ में चद्दर चुराती महिलाएं",hate
194,जब पाकिस्तान चीन से  कर्ज लेती है तो छिनरा छिनरी पत्रकार देशद्रोही न्यूज़ चैनल खबर दिखाती है पूरा पाकिस्तान चाइना के कब्जे में चली गई अब यह देशद्रोही मोदी की सरकार चाइना से कर्ज  लिया क्या अब भारत  पर भी चाइना की कब्जा हो गई,"defamation,hate"
2946,"चकमा देना कोई मोदी जी से सीखे ।
सबकी निगाहे थी GDP debate पे आज।
उधर Pubg को Ban कर के पूरा रुख ही बदल दिया।
@ReallySwara
@ndtv",defamation
1257,"GDP का 23.9 फीसदी गिरना कितना खतरनाक है, ये आंकड़े देखकर आप समझ जाएंगे
https://t.co/Yvg9wCmBtz via @NavbharatTimes 
#GDP #Economy https://t.co/yit2yiTHHc",non-hostile
634,भारत के संविधान और एक भारत पर ज्ञान देने वाले भाजपाई कहां चुप हैं ? https://t.co/pQLVEnNC4g,non-hostile
1384,"क्या केबीसी में सब कुछ पहले से तय होता है? एक्सपर्ट्स और अमिताभ को जबाव पहले से पता होते हैं? विनिंग अमाउंट पूरा मिल जाता है या उस पर टैक्स देना होता है? शो के लिए बिग बी कितना पैसा लेते हैं? 
#KBC12 @SrBachchan @MeghnaVerma024 
https://t.co/MvSo60IJHL",non-hostile
4217,"अभिनेत्री कंगना रनौत के साथ जुबानी जंग पर बोले शिवसेना प्रवक्ता संजय राउत: सिर्फ मुंबई पुलिस और यहां की सरकार की वजह से ही यहां की फिल्म इंडस्ट्री सुरक्षित है... एक व्यक्ति का मतलब इंडस्ट्री नहीं।
#ATVideo #KanganaRanaut #SanjayRaut | @rautsanjay61 @SahilJoshii https://t.co/vEDqhb2IyN",non-hostile
1408,"श्रीनगर में हुए एक क्रिकेट मैच के बाद जम्मू-कश्मीर पुलिस ने 10 लोगों को गिरफ्तार कर लिया है. ये मैच तीन सितंबर को श्रीनगर में कराया गया था. एक मारे गए आतंकी की याद में कुछ लोगों ने इसका आयोजन किया था.

https://t.co/arFEhSDSC6",non-hostile
2698,@DrKumarVishwas @AmitShah भारी जवानी में आडवाणी बन गए कुमार विश्वास कोई बात नहीं अपने आप को हारे हुए महसूस मत कीजिएगा समय के साथ सब बदलेगी,offensive
844,@AzadSenaChief @etawahpolice -कृपया सूचनार्थ एवं आवश्यक कार्यवाही हेतु। @112UttarPradesh,non-hostile
3026,"बिना ट्रायल के कोरोना वैक्सीन लगा रहा है चीन?
स्टोरीः रॉबिन ब्रैंट, शांघाई
आवाज़ः विशाल शुक्ला https://t.co/iYzQAEwKr2",non-hostile
488,भारतीय जनता पार्टी के राष्ट्रीय अध्यक्ष @JPNadda ने झारखंड प्रदेश कार्यकारिणी की बैठक को किया संबोधित https://t.co/7HzH4zpICQ,non-hostile
466,"लॉकडाउन के दौरान बुक एयर टिकटों का पूरा पैसा होगा रिफंड!
https://t.co/lQuI9edhhJ via @NavbharatTimes 
#AirTicket #Lockdown #Refund https://t.co/jV47WJKewi",non-hostile
320,"CAA NRC NPR का खुला समर्थन करने की वजह से इंदौर में भाजपा नेता तथा हज कमेटी के पूर्व चेयरमैन इनायत हुसैन के चेहरे पर पोती गई स्याही, चप्पलों से हुई पिटाई.
धोखा देने वालो के साथ ये सलूक कैसा लगा आप सबको",defamation
4603,"दोबारा मां बनने से पहले इस स्पोर्ट्स लुक में नजर आईं करीना कपूर, तस्वीरों से निगाहें हटाना मुश्किल
#KareenaKapoorKhan
https://t.co/zwzBceRvH1",non-hostile
2893,भारत और रूस संयुक्त रूप से #OnlineChessOlympiad के विजेता घोषित; टूर्नामेंट में भारत ने पहली बार जीता गोल्ड https://t.co/0hhQBFhCJ3,non-hostile
4830,"मुख्यमंत्री श्री @myogiadityanath जी कल, बीआरडी मेडिकल कॉलेज में बाल चिकित्सा संस्थान में 300 शैय्या कोविड हॉस्पिटल लेवल-3 के चिकित्सालय का लोकार्पण करेंगे: ACS, गृह व सूचना, श्री @AwasthiAwanishK जी 

@ShishirGoUP",non-hostile
390,"प्रदेश में कोविड-19 टेस्टिंग का कार्य तेजी से किया जा रहा है। प्रदेश में कल, एक दिन में अब तक के सर्वाधिक 1,49,874 सैम्पलों की जांच की गई। प्रदेश में अब तक कुल 57,76,764 सैम्पलों की जांच की गई है: ACS, चिकित्सा एवं स्वास्थ्य, श्री अमित मोहन प्रसाद जी
@ShishirGoUP",non-hostile
5404,"मध्यप्रदेश में #AAP के ऑक्सीमित्र घर-घर जाकर कर रहे हैं ऑक्सीजन जांच।
#5September 
@ArvindKejriwal @AapKaGopalRai @AnkushNarang_ @PankajSinghAAP https://t.co/KwUZ0Utwv8",non-hostile
4551,जब दो टके का आदमी शाहब बनता है तो यही होता है।,fake
5550,"#MakeInIndia को और प्रोत्साहन; भारतीय सेना को पिनाका रेजिमेंटों की आपूर्ति के लिए रक्षा मंत्रालय ने भारतीय कंपनियों के साथ 2580 करोड़ रुपये मूल्य के अनुबंधों पर हस्ताक्षर किये

विवरण: https://t.co/Gm15MlNHTo",non-hostile
1184,"जून तिमाही में पिछले साल के मुकाबले 23.9 पर्सेंट की गिरावट दुनिया की बड़ी अर्थव्यवस्थाओं में सबसे अधिक है।
#GDP #NarendraModi #India 

https://t.co/ngJMCfsNLU",non-hostile
1075,आजादी से अब तक एक भी फॉरवर्ड को मेहनत करके खाते आपको नजर नहीं आएंगे आज ही इनकी संस्थाओं पर कब्जा है जमीन पर पूरी कब्जा है पिछड़ा दलित के पास थोड़ी बहुत जो जमीन आई है उन्होंने मेहनत करके अपनी ही जमीन के पैसा देकर इन से खरीदे हैं,"defamation,fake,hate"
598,"कोरोना के नियंमों का पालन कराने के लिए दिल्ली सरकार सख्त, बनाई टीम
#Corona, #Delhigovernment https://t.co/qgp4XOvDay",non-hostile
2541,"कोल इंडिया लिमिटेड 2023-24 तक 500 परियोजनाओं में 1 दशमलव दो-दो लाख करोड रुपये से अधिक निवेश करेगा व अन्य समाचार 

#समाचारप्रभात

https://t.co/RXBfme4nLA",non-hostile
1535,"#Kanpur प्राइवेट हॉस्पिटलों की मनमानी पर सख्त DM, कार्रवाई की दी चेतावनी| ABPGanga
https://t.co/56bllMVGAm",non-hostile
615,कुछ वेबसाइट PM- Kusum योजना के नाम पर ऑनलाइन रजिस्ट्रेशन करा रही हैं।,fake
4467,"ईमानदार और सच्चे राजनेता प्रणव दा ने अपनी बुद्धि, मेहनत और दृढ़ संकल्प के साथ देश को नई ऊँचाइयों तक ले जाने में अपना अमूल्य योगदान दिया है।

यह देश उन्हें मातृभूमि के प्रति उनकी सच्ची निष्ठा एवं अटूट प्रेम के लिए सदा याद करता रहेगा।",non-hostile
265,"कहावत है कि चोरी &amp;सीनाजोरी।सरकार में मंत्री रविशंकर जी उल्टे फेस बुक के हेड जुकरबर्ग को पत्र लिखा है उनके कर्मी भारत मे एक विशेष विचारधारा को प्रमोट करते हैं।ऐसा करके गुमराह कर रहे हैं।
@INCIndia",non-hostile
1256,"प्रदेश संगठन सचिव @sandeepsahuAAP जी द्वारा आज सिंगरौली के शहरी क्षेत्र के वार्ड क्रमांक 41 में लोगों का आक्सीजन लेवल चेक किया गया।
@ArvindKejriwal @AapKaGopalRai @AnkushNarang_ https://t.co/JTNSnH3Aw1",non-hostile
265,"शर्म करो सरकार.. डॉक्टर कफील खान को न्याय दो...

#JudgmentDayForDrKafeel",non-hostile
